Turn,Player,PlayerCount,MapWidth,MapHeight,CivId,MetPlayersMask,IsLastPlayer,GDP,Treasury,CoinTier,MonetarySystem,Inflation,Population,Cities,Military,TechsResearched,CultureTotal,TradePartners,CompositeCSI,EraVP,AvgHappiness,Corruption,CrisisType,IndustrialRev,GovernmentType,IncomeTax,IncomeCommercial,IncomeIndustrial,IncomeTileGold,IncomeGoodsEcon,TotalIncome,EffectiveIncome,ExpenseUnits,ExpenseBuildings,TotalExpense,NetFlow,GoodsStockpiled,FoodPerTurn,FamineCities,ScienceDiffusion,CultureDiffusion
1,0,4,80,52,0,1,0,17,0,0,0,0,1,1,0,1,3.15,0,0.584559,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0
1,1,4,80,52,1,2,0,16,0,0,0,0,1,1,0,1,3.15,0,0.834157,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0
1,2,4,80,52,2,4,0,45,0,0,0,0,1,1,0,1,3.15,0,0.644083,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0
1,3,4,80,52,3,8,1,22,0,0,0,0,1,1,0,1,3.15,0,0.555533,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0
2,0,4,80,52,0,1,0,28,0,0,0,0,1,1,0,1,6.3,0,0.594197,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0
2,1,4,80,52,1,2,0,26,0,0,0,0,1,1,0,1,6.3,0,0.842579,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0
2,2,4,80,52,2,4,0,60,0,0,0,0,1,1,0,1,6.3,0,0.626974,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0
2,3,4,80,52,3,8,1,38,0,0,0,0,1,1,0,1,6.3,0,0.57125,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0
3,0,4,80,52,0,1,0,39,0,0,0,0,1,1,0,1,9.45,0,0.596055,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0
3,1,4,80,52,1,2,0,39,0,0,0,0,2,1,0,1,10.5,0,0.866899,0,0.568629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,0
