Turn,SubStep,EventType,Player,OtherPlayer,Value1,Value2,Detail
2,0,TechResearched,0,255,2,0,Tech completed
2,1,TechResearched,1,255,2,0,Tech completed
2,2,TechResearched,2,255,2,0,Tech completed
2,3,TechResearched,3,255,2,0,Tech completed
2,4,TechResearched,4,255,2,0,Tech completed
2,5,TechResearched,5,255,2,0,Tech completed
2,6,TechResearched,6,255,2,0,Tech completed
2,7,TechResearched,7,255,2,0,Tech completed
4,0,TechResearched,0,255,3,0,Tech completed
4,1,TechResearched,1,255,3,0,Tech completed
4,2,TechResearched,2,255,3,0,Tech completed
4,3,TechResearched,4,255,3,0,Tech completed
4,4,TechResearched,5,255,3,0,Tech completed
4,5,TechResearched,6,255,3,0,Tech completed
4,6,TechResearched,7,255,3,0,Tech completed
7,0,TechResearched,0,255,4,0,Tech completed
7,1,TechResearched,1,255,4,0,Tech completed
7,2,UnitProduced,6,255,1,0,Unit produced
7,3,UnitProduced,7,255,1,0,Unit produced
8,0,TechResearched,2,255,4,0,Tech completed
8,1,TechResearched,3,255,3,0,Tech completed
8,2,TechResearched,4,255,4,0,Tech completed
8,3,TechResearched,5,255,4,0,Tech completed
9,0,TechResearched,6,255,4,0,Tech completed
9,1,TechResearched,7,255,4,0,Tech completed
11,0,PlayersMet,0,1,0,0,First contact
12,0,TechResearched,0,255,5,0,Tech completed
12,1,TechResearched,1,255,5,0,Tech completed
13,0,TechResearched,2,255,5,0,Tech completed
13,1,TechResearched,4,255,5,0,Tech completed
13,2,TechResearched,5,255,5,0,Tech completed
16,0,UnitProduced,0,255,1,0,Unit produced
16,1,TechResearched,1,255,6,0,Tech completed
17,0,TechResearched,0,255,6,0,Tech completed
17,1,UnitProduced,3,255,1,0,Unit produced
17,2,TechResearched,4,255,6,0,Tech completed
17,3,TechResearched,5,255,6,0,Tech completed
17,4,UnitProduced,6,255,1,0,Unit produced
18,0,CityFounded,0,255,2,0,New city
18,1,TechResearched,2,255,6,0,Tech completed
18,2,UnitProduced,2,255,1,0,Unit produced
19,0,CityFounded,6,255,2,0,New city
19,1,UnitProduced,7,255,1,0,Unit produced
22,0,CityFounded,2,255,2,0,New city
23,0,TechResearched,3,255,4,0,Tech completed
23,1,CityFounded,7,255,2,0,New city
24,0,TechResearched,6,255,5,0,Tech completed
24,1,TechResearched,7,255,5,0,Tech completed
25,0,TechResearched,3,255,5,0,Tech completed
25,1,UnitProduced,5,255,1,0,Unit produced
27,0,TechResearched,6,255,6,0,Tech completed
27,1,TechResearched,7,255,6,0,Tech completed
28,0,TechResearched,3,255,6,0,Tech completed
30,0,TechResearched,0,255,7,0,Tech completed
30,1,TechResearched,1,255,7,0,Tech completed
31,0,TechResearched,2,255,7,0,Tech completed
31,1,TechResearched,4,255,7,0,Tech completed
31,2,UnitProduced,4,255,1,0,Unit produced
31,3,TechResearched,5,255,7,0,Tech completed
31,4,CityFounded,5,255,2,0,New city
31,5,TechResearched,6,255,7,0,Tech completed
31,6,TechResearched,7,255,7,0,Tech completed
32,0,UnitProduced,2,255,1,0,Unit produced
32,1,TechResearched,3,255,7,0,Tech completed
32,2,UnitProduced,6,255,1,0,Unit produced
33,0,UnitProduced,6,255,1,0,Unit produced
34,0,CityFounded,4,255,2,0,New city
35,0,TechResearched,0,255,8,0,Tech completed
35,1,TechResearched,1,255,8,0,Tech completed
35,2,TechResearched,2,255,8,0,Tech completed
35,3,TechResearched,7,255,8,0,Tech completed
36,0,UnitProduced,0,255,1,0,Unit produced
36,1,TechResearched,4,255,8,0,Tech completed
36,2,TechResearched,5,255,8,0,Tech completed
36,3,TechResearched,6,255,8,0,Tech completed
37,0,TechResearched,3,255,8,0,Tech completed
39,0,UnitProduced,1,255,1,0,Unit produced
40,0,UnitProduced,7,255,1,0,Unit produced
41,0,CityFounded,1,255,2,0,New city
41,1,UnitProduced,3,255,1,0,Unit produced
42,0,CityFounded,2,255,3,0,New city
43,0,TechResearched,7,255,9,0,Tech completed
43,1,UnitProduced,7,255,1,0,Unit produced
44,0,TechResearched,0,255,9,0,Tech completed
44,1,TechResearched,2,255,9,0,Tech completed
45,0,UnitProduced,2,255,1,0,Unit produced
45,1,TechResearched,4,255,9,0,Tech completed
45,2,TechResearched,5,255,9,0,Tech completed
45,3,TechResearched,6,255,9,0,Tech completed
46,0,TechResearched,1,255,9,0,Tech completed
